country_alpha3,country_name,year,1_1_ffp_x1,1_2_ucdp,1_3_wef_gci_subpillar:_5._security,1_4_political_terror,1_5_ffp_p3,protection,2_1_1_wef_gcr_2nd_pillar:_infrastructure,2_1_2_un:_telecom,"2_2_1_government_expend._on_primary_and_secondary_education,_total_(%_of_gdp)",2_2_2_wef_gcr_indicator_quality_of_primary_education,2_3_1_domestic_general_government_health_expenditure_(%_of_gdp),2_3_2_out_of_pocket_expenditure_(%_of_total_national_health_care_spending),2_4_1_public_social_protection_(excl._health)_expenditure_(%_of_gdp),2_4_2_coverage_of_older_persons_by_sp_benefits,2_5_1_public_expenditure_on_socials_safety_nets_(%_of_gdp),2_5_2_vulnerable_persons_covered_by_social_assistance,2_6_1_share_of_wage_employment_on_work_age_pop,2_6_2_working_poverty_head_count_rate_(percentage_of_persons_living_in_poverty_in_spite_of_being_employed),2_7_1_wef_gci_subpillar:_1._property_rights,2_7_2_wef_gci_subpillars_2_and_3._ethics_and_corruption;_undue_influence,2_8_1_wef_gci_subpillar:_1._domestic_competition,2_8_2_wef_gci_subpillar:_4._government_efficiency,provision,3_1_v_dem_index_on_electoral_democracy,3_2_wb_voice_and_accountability_indicator,participation
AFG,Afghanistan,2007,0.0,0.0,,0.0,0.18000000000000005,0.04500000000000001,,0.01576,0.618162,,0.11198950999999999,0.2183000946,0.2231341,,0.3032613515853882,,0.1290104,,,,,,0.24241210898089804,0.395,0.30967189079999996,0.3523359454
ALB,Albania,2007,0.44000000000000006,1.0,0.6916666666666668,0.75,0.45999999999999996,0.6683333333333333,0.2928571428571428,0.12508,,0.47000000000000003,0.487142802,0.44022708889999995,1.0,,0.40841059684753417,,0.404818,0.9981,0.40285714285714286,0.3314285714285714,0.4957142857142857,0.41285714285714287,0.5092439606443345,0.544,0.5358659088,0.5399329544
DZA,Algeria,2007,0.42999999999999994,0.4584915371587611,0.7683333333333334,0.25,0.26,0.42999999999999994,0.42857142857142855,0.12298,0.710612,0.42714285714285716,0.533375264,0.7191141890999999,0.7447,,0.2363757848739624,,0.6896551,0.9981,0.5571428571428572,0.49142857142857144,0.5757142857142857,0.5157142857142857,0.5457314005351381,0.335,0.3238795638,0.3294397819
AGO,Angola,2007,0.24,0.8996111619056438,0.8600000000000001,0.5,0.25,0.5,0.2685714285714285,0.02238,0.33700600000000003,0.21285714285714286,0.344397212,0.7161602974,0.6562051967208149,0.145,0.09876753091812134,,0.337941,0.6801,0.39571428571428574,0.38357142857142856,0.49000000000000005,0.39999999999999997,0.34921494085445887,0.177,0.2850055694,0.2310027847
ARG,Argentina,2007,0.72,1.0,0.69,0.75,0.63,0.72,0.43285714285714283,0.24844,0.619756,0.41714285714285715,0.8509832380000001,0.6871370125,,,0.6628923892974854,0.45299999999999996,0.7645257999999999,0.9956,0.41714285714285715,0.28928571428571426,0.47714285714285715,0.36,0.5482789905977795,0.797,0.6007126332,0.6988563166
ARM,Armenia,2007,0.44999999999999996,1.0,0.8366666666666667,0.75,0.44999999999999996,0.75,0.40714285714285714,0.08939,0.38442600000000005,0.44571428571428573,0.322778512,0.417708168,0.19662200000000002,,0.30552608966827394,0.162,0.571999,0.997,0.5557142857142857,0.3314285714285714,0.5257142857142857,0.4414285714285714,0.3969509141756957,0.352,0.3673044324,0.3596522162
AUS,Australia,2007,0.89,1.0,0.9583333333333335,1.0,0.75,0.9583333333333335,0.79,0.68839,0.70843,0.7728571428571429,1.0,0.8099744034,1.0,0.701,,0.53,0.8316417,1.0,0.8857142857142858,0.7849999999999999,0.7699999999999999,0.6814285714285714,0.7802772564625001,0.884,0.7785857678,0.8312928839
AUT,Austria,2007,0.77,1.0,1.0,0.75,0.85,0.85,0.8128571428571428,0.59894,0.680994,0.7699999999999999,1.0,0.8119386101,1.0,1.0,1.0,0.93,0.8679893,1.0,0.9014285714285714,0.7578571428571428,0.7457142857142857,0.6914285714285714,0.8480717265241071,0.879,0.7785978318,0.8287989159
AZE,Azerbaijan,2007,0.35,1.0,0.8450000000000002,0.5,0.36,0.5,0.5114285714285715,0.1077,,0.3628571428571429,0.181378222,0.47286129,0.7082600000000001,,0.16821967363357543,0.126,0.3348676,0.999,0.5,0.39999999999999997,0.5157142857142857,0.49000000000000005,0.43433774553066995,0.214,0.2757150888,0.24485754440000002
BHR,Bahrain,2007,0.47,1.0,0.9066666666666668,0.75,0.53,0.75,0.6342857142857143,0.3346,,0.5185714285714286,0.432920456,0.6984087563,0.287,,,,0.9730789,1.0,0.7485714285714286,0.5557142857142857,0.6542857142857142,0.6071428571428571,0.5892964978173468,0.232,0.3485334874,0.2902667437
