INDICATOR_ID,INDICATOR_LABEL_EN
ADMI.ENDOFLOWERSEC.MAT," Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number)"
ADMI.ENDOFLOWERSEC.READ," Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number)"
ADMI.ENDOFPRIM.MAT," Administration of a nationally-representative learning assessment at the end of primary in mathematics (number)"
ADMI.ENDOFPRIM.READ," Administration of a nationally-representative learning assessment at the end of primary in reading (number)"
ADMI.GRADE2OR3PRIM.MAT," Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number)"
ADMI.GRADE2OR3PRIM.READ," Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number)"
AIDEDUC.LOWINCOMECOUNT,"Percentage of total aid to education allocated to least developed countries (%)"
AIR.1.GLAST,"Gross intake ratio to the last grade of primary education, both sexes (%)"
AIR.1.GLAST.F,"Gross intake ratio to the last grade of primary education, female (%)"
AIR.1.GLAST.GPIA,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)"
AIR.1.GLAST.M,"Gross intake ratio to the last grade of primary education, male (%)"
AIR.2.GPV.GLAST,"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)"
AIR.2.GPV.GLAST.F,"Gross intake ratio to the last grade of lower secondary general education, female (%)"
AIR.2.GPV.GLAST.GPIA,"Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)"
AIR.2.GPV.GLAST.M,"Gross intake ratio to the last grade of lower secondary general education, male (%)"
CR.1,"Completion rate, primary education, both sexes (%)"
CR.1.ABL,"Completion rate, primary education, not disabled, both sexes (%)"
CR.1.ABL.F,"Completion rate, primary education, not disabled, female (%)"
CR.1.ABL.GPIA,"Completion rate, primary education, not disabled, adjusted gender parity index (GPIA)"
CR.1.ABL.M,"Completion rate, primary education, not disabled, male (%)"
CR.1.DIS,"Completion rate, primary education, disabled, both sexes (%)"
CR.1.DIS.F,"Completion rate, primary education, disabled, female (%)"
